State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
SC,Beaufort County,64829,6133414,6046,385995,7009,776198,963,1.485
TX,Gillespie County,10389,963216,711,49583,865,77091,154,1.482
VA,Dinwiddie County,10062,578848,790,32416,939,37948,149,1.481
TN,Franklin County,14331,827362,906,43620,1118,60429,212,1.479
NC,Stanly County,20761,1191101,1030,43712,1336,61654,306,1.474
GA,Spalding County,20351,1036154,1858,76838,2158,89097,300,1.474
VA,Bedford County,28425,2127642,2045,120210,2462,152618,417,1.467
MO,Camden County,15484,952210,1480,67773,1707,105834,227,1.466
ME,Lincoln County,14320,884327,928,47128,1138,74466,210,1.466
GA,Franklin County,6839,353017,604,21302,704,28913,100,1.462
MO,Iron County,2944,133982,212,6787,255,7166,43,1.461
TX,Wilson County,16083,1224241,1278,72578,1513,112598,235,1.461
MN,Chisago County,20863,1643790,1630,92023,1933,111675,303,1.452
GA,Habersham County,13794,773587,929,45860,1129,54555,200,1.45
VA,Orange County,13179,919390,1295,71204,1486,95110,191,1.449
TX,Medina County,15499,1008858,1211,58822,1435,78910,224,1.445
MN,Hubbard County,7551,461467,562,31191,671,35900,109,1.444
MD,Frederick County,96951,8925877,6822,474656,8215,565097,1393,1.437
TN,White County,8649,395268,621,20865,745,32290,124,1.434
FL,Glades County,3001,171193,373,14790,416,17369,43,1.433
NC,Gaston County,74925,4594517,5235,248777,6309,306681,1074,1.433
FL,Clay County,73883,4941020,7908,448768,8965,529836,1057,1.431
GA,Webster County,701,27139,40,1137,50,1526,10,1.427
FL,Okaloosa County,75605,5353520,8641,474484,9720,611755,1079,1.427
SC,Lexington County,99464,7056130,7544,399906,8957,466842,1413,1.421
WI,Iron County,2538,132850,133,4832,169,9632,36,1.418
TX,Leon County,5717,303052,423,19081,504,29540,81,1.417
